"Id","cateId","picS","picB","name","describe","price","author","brand","publishDate","isPick"
"DGBV08-A90060BKI","DYAM1L","/pic/v1/data/item/201504/D/G/B/V/0/8/sDGBV08-A90060BKI000_5523bead6ce85.png","/pic/v1/data/item/201512/D/G/B/V/0/8/DGBV08-A90060BKI000_565fa259940c4.jpg","SONY Xperia  Z3 Tablet Compact 8吋四核防水平板(LTE版/16G/黑)","★超值搶購 送保護貼★SONY Xperia  Z3 Tablet Compact 8吋四核防水平板(LTE版/16G/黑)  ",13490,"","","",0
"DGBJA7-19006PWRS","DGBJA7","/pic/v1/data/item/201512/D/G/B/J/A/7/sDGBJA7-19006PWRS000_56712b0b85546.jpg","/pic/v1/data/item/201512/D/G/B/J/A/7/DGBJA7-19006PWRS000_56712b0b84290.jpg","SONY PS4主機 CUH-1207A系列500G(極致黑)"," 雙手把+周邊SONY PS4主機 CUH-1207A系列500G(極致黑)",12980,"","","",0
"DYAD26-A90066D02","DYAD26","/pic/v1/data/item/201506/D/Y/A/D/2/6/sDYAD26-A90066D02000_557e70b3db760.jpg","/pic/v1/data/item/201512/D/Y/A/D/2/6/DYAD26-A90066D02000_5677607634deb.jpg","SONY Xperia Z3+ (E6553)"," 超值 送原廠側掀皮套SONY Xperia Z3+ (E6553)",14490,"","","",0
"DYAD2O-A9006J896","DYAD2O","/pic/v1/data/item/201509/D/Y/A/D/2/O/sDYAD2O-A9006J896000_560b9c5332e28.jpg","/pic/v1/data/item/201604/D/Y/A/D/2/O/DYAD2O-A9006J896000_56fdd8517f808.jpg","SONY Xperia Z5","▼送玻璃保貼+原廠吊飾▼SONY Xperia Z5",16800,"","","",0
"DGBJA7-19006Y7V6","DGBJA7","/pic/v1/data/item/201604/D/G/B/J/A/7/sDGBJA7-19006Y7V6000_570b6720292d4.jpg","/pic/v1/data/item/201604/D/G/B/J/A/7/DGBJA7-19006Y7V6000_570b67202777d.jpg","SONY PS4主機 CUH-1207B系列1TB(極致黑)"," 1T+AC雙頻高速無線分享器+直立架SONY PS4主機 CUH-1207B系列1TB(極致黑) ",13480,"","","",0
"DGALTU-A9005GYKU","DYAD00","/pic/v1/data/item/201409/D/G/A/L/T/U/sDGALTU-A9005GYKU000_5423786cd7ea2.png","/pic/v1/data/item/201511/D/G/A/L/T/U/DGALTU-A9005GYKU000_56400027140e1.jpg","SONY Xperia Z3 (D6653)","《送觸控筆+支架》SONY Xperia Z3 (D6653)  ",12890,"","","",0
"DGAD01-A90054RYV","DGAD01","/pic/v1/data/item/201405/D/G/A/D/0/1/sDGAD01-A90054RYV000_5375d3251963b.jpg","/pic/v1/data/item/201509/D/G/A/D/0/1/DGAD01-A90054RYV000_55ecef3cbfa3c.jpg","SONY DSC-RX100M3(公司貨)","F1.8★32G原電組SONY DSC-RX100M3(公司貨)",22980,"","","",0
"DYAD2J-A9006FOW2","DYAD2J","/pic/v1/data/item/201508/D/Y/A/D/2/J/sDYAD2J-A9006FOW2000_55daeea2b67c3.jpg","/pic/v1/data/item/201511/D/Y/A/D/2/J/DYAD2J-A9006FOW2000_56493d32e0bcb.jpg","SONY Xperia C5 Ultra (E5553)","▼送玻璃保貼▼SONY Xperia C5 Ultra 八核心6吋4G LTE大螢幕慧型手機",8800,"","","",0
"DGBJA7-19006Y7WE","DGBJA7","/pic/v1/data/item/201604/D/G/B/J/A/7/sDGBJA7-19006Y7WE000_570b66cabed1d.jpg","/pic/v1/data/item/201604/D/G/B/J/A/7/DGBJA7-19006Y7WE000_570b66cabb68e.jpg","SONY PS4主機 CUH-1207B系列1TB(極致黑)"," 1T+遊戲任選+周邊SONY PS4主機 CUH-1207B系列1TB(極致黑) ",14080,"","","",0
"DYAI49-A9006GY7O","DYAI49","/pic/v1/data/item/201509/D/Y/A/I/4/9/sDYAI49-A9006GY7O000_55ed66f01de44.jpg","/pic/v1/data/item/201602/D/Y/A/I/4/9/DYAI49-A9006GY7O000_56cfb75e5ea0c.jpg","SONY SWR12 藍牙手環","SONY SWR12 藍牙手環",3780,"","","",0
